店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
西宮の安くて旨い居酒屋春日 西宮本店,050-5485-6428,,兵庫県,西宮市戸田町,4-24,セントラルステージ寺田1F,,True
リゾートレストランCORAL KITCHEN at cove ,050-5487-6669,,兵庫県,西宮市西波止町,1-2,,,True
韓国料理サムギョプサル炎 西宮店,050-5486-3415,,兵庫県,西宮市戸田町,6-30,,,True
牛めし・カレー・定食松屋 阪神西宮店,0798-38-9050,,兵庫県,西宮市田中町,2-3,,,True
厳選焼肉食べ飲み放題焼肉六甲 阪神西宮店,050-5487-8843,,兵庫県,西宮市田中町,2-25,まるよビル2F,,True
4等級以上黒毛和牛焼肉焼肉・すき焼き 純 エビスタ西宮店,050-5485-2635,,兵庫県,西宮市田中町,1-6,エビスタ西宮1F,,True
素材にこだわった焼肉屋もりもと焼肉店 ,050-5487-0626,,兵庫県,西宮市産所町,2-10,,,True
西宮 焼肉 韓国料理焼肉・韓国料理 KollaBo （コラボ） エビスタ西宮店,050-5488-7494,,兵庫県,西宮市市田中町,1-6,エビスタ西宮1F,,True
大衆焼肉店大衆焼肉＆ホルモン 牛よし ,0798-61-2610,,兵庫県,西宮市六湛寺町,2-1,1F,,True
お好み焼・鉄板焼りゅうちゃん ,0798-35-5485,,兵庫県,西宮市池田町,7-34,池田コーポ101,,True
牛めし・カレー・定食松屋 今津店,0798-38-8026,,兵庫県,西宮市今津曙町,1-1,エキーマ今津1F,,True
にぎわい酒場にぎわい酒場 万 今津本店,050-5485-6488,ban_group@bannet.co.jp,兵庫県,西宮市津門呉羽町,2-39,,,True
ステーキレストランフォルクス 芦屋店,050-5493-7466,,兵庫県,芦屋市春日町,24-16,,,True
肉以外も充実の焼き肉屋ヤキニク524 ,050-5484-2293,,兵庫県,芦屋市打出町,2-16,コモディータ芦屋1F,,True
和中洋味わうレストラン七園（ホテルヒューイット甲子園内） ,050-5486-6214,,兵庫県,西宮市甲子園高潮町,3-30,,,True
ステーキ・鉄板焼ニュー松坂 西宮北口店 ,050-5487-8481,,兵庫県,西宮市高松町,8-25,阪急西宮ガーデンズプラス館1F,,True
鉄板酒場鉄板酒場 Bulan ,050-5488-0639,,兵庫県,西宮市甲子園五番町,14-17,シャルマン五番館,,True
日本料理日本料理 花ゆう ,050-5484-3002,,兵庫県,西宮市南昭和町,4-9,,,True
